Site,Year,Siteyr,Plot,Block,Trt,Trt Des,POST,residual,iYield,mYield
Brooklyn,2019,BRO19,104,1,4,M POST,B,no,56.6,3814.3
Brooklyn,2019,BRO19,201,2,4,M POST,B,no,48.1,3241.5
Brooklyn,2019,BRO19,304,3,4,M POST,B,no,48.2,3248.2
Brooklyn,2019,BRO19,407,4,4,M POST,B,no,49.3,3322.4
Brooklyn,2019,BRO19,105,1,5,L POST,C,no,47.7,3214.5
Brooklyn,2019,BRO19,202,2,5,L POST,C,no,59.6,4016.5
Brooklyn,2019,BRO19,306,3,5,L POST,C,no,46.2,3113.5
Brooklyn,2019,BRO19,403,4,5,L POST,C,no,50.7,3416.7
Brooklyn,2019,BRO19,106,1,6,E POST with residual,A,yes,35.9,2419.3
Brooklyn,2019,BRO19,208,2,6,E POST with residual,A,yes,42.6,2870.9
Brooklyn,2019,BRO19,301,3,6,E POST with residual,A,yes,43.2,2911.3
Brooklyn,2019,BRO19,404,4,6,E POST with residual,A,yes,52,3504.3
Brooklyn,2019,BRO19,107,1,7,M POST with residual,B,yes,42.4,2857.4
Brooklyn,2019,BRO19,203,2,7,M POST with residual,B,yes,48.7,3281.9
Brooklyn,2019,BRO19,307,3,7,M POST with residual,B,yes,41.1,2769.8
Brooklyn,2019,BRO19,405,4,7,M POST with residual,B,yes,48,3234.8
Brooklyn,2019,BRO19,108,1,8,L POST with residual,C,yes,43.3,2918.0
Brooklyn,2019,BRO19,205,2,8,L POST with residual,C,yes,45.3,3052.8
Brooklyn,2019,BRO19,303,3,8,L POST with residual,C,yes,41.9,2823.7
Brooklyn,2019,BRO19,406,4,8,L POST with residual,C,yes,53.1,3578.5
Lancaster,2019,LAN19,101,1,1,Check,none,,51.6,3477.4
Lancaster,2019,LAN19,102,1,2,PRE,none,,67.3,4535.4
Lancaster,2019,LAN19,103,1,3,E POST,A,no,74.8,5040.8
Lancaster,2019,LAN19,104,1,4,M POST,B,no,76.2,5135.2
Lancaster,2019,LAN19,105,1,5,L POST,C,no,72,4852.1
Lancaster,2019,LAN19,106,1,6,E POST with residual,A,yes,77.1,5195.8
Lancaster,2019,LAN19,107,1,7,M POST with residual,B,yes,78.6,5296.9
Lancaster,2019,LAN19,108,1,8,L POST with residual,C,yes,71.3,4805.0
Lancaster,2019,LAN19,201,2,5,L POST,C,no,72.4,4879.1
Lancaster,2019,LAN19,202,2,4,M POST,B,no,67.9,4575.8
Lancaster,2019,LAN19,203,2,6,E POST with residual,A,yes,79,5323.9
Lancaster,2019,LAN19,204,2,7,M POST with residual,B,yes,79.6,5364.3
Lancaster,2019,LAN19,205,2,8,L POST with residual,C,yes,70.4,4744.3
Lancaster,2019,LAN19,206,2,1,Check,none,,51.5,3470.6
Lancaster,2019,LAN19,207,2,3,E POST,A,no,78.7,5303.7
Lancaster,2019,LAN19,208,2,2,PRE,none,,69.2,4663.5
Lancaster,2019,LAN19,301,3,2,PRE,none,,64.4,4340.0
Lancaster,2019,LAN19,302,3,8,L POST with residual,C,yes,65.8,4434.3
Lancaster,2019,LAN19,303,3,1,Check,none,,55,3706.5
Lancaster,2019,LAN19,304,3,3,E POST,A,no,73.4,4946.5
Lancaster,2019,LAN19,305,3,7,M POST with residual,B,yes,75.4,5081.3
Lancaster,2019,LAN19,306,3,6,E POST with residual,A,yes,75.6,5094.8
Lancaster,2019,LAN19,307,3,4,M POST,B,no,80.2,5404.8
Lancaster,2019,LAN19,308,3,5,L POST,C,no,71.3,4805.0
Lancaster,2019,LAN19,401,4,3,E POST,A,no,70,4717.4
Lancaster,2019,LAN19,402,4,7,M POST with residual,B,yes,70.9,4778.0
Lancaster,2019,LAN19,403,4,4,M POST,B,no,76.6,5162.1
Lancaster,2019,LAN19,404,4,8,L POST with residual,C,yes,73.7,4966.7
Lancaster,2019,LAN19,405,4,5,L POST,C,no,77.9,5249.8
Lancaster,2019,LAN19,406,4,2,PRE,none,,69.8,4703.9
Lancaster,2019,LAN19,407,4,1,Check,none,,66,4447.8
Lancaster,2019,LAN19,408,4,6,E POST with residual,A,yes,71.6,4825.2
