ph,perch,conc,ams,dic form,gly,no grass control,gly:DMA,gly:GLY-K,conc:4x,conc:1x,dic:NA+DIF,dic:DGA,dic:DGA+CYP,dic:DGA+TMB
7.28,0.02325577,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.29,0.021914089,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.3,0.020572407,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.25,0.027280815,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.24,0.028622497,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.27,0.024597452,1x,no,DGA,no,yes,no,no,no,yes,no,yes,no,no
4.94,0.337209273,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.92,0.339892636,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.94,0.337209273,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
5.03,0.325134138,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
5.03,0.325134138,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
5.02,0.32647582,1x,no,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.88,0.345259362,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.88,0.345259362,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.89,0.343917681,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.99,0.330500865,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.95,0.335867591,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.99,0.330500865,1x,no,DGA,yes,no,no,yes,no,yes,no,yes,no,no
7.25,0.027280815,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.27,0.024597452,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.28,0.02325577,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.2,0.033989223,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.22,0.03130586,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
7.23,0.029964178,1x,yes,DGA,no,yes,no,no,no,yes,no,yes,no,no
4.92,0.339892636,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.93,0.338550954,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.92,0.339892636,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
5.01,0.327817501,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.99,0.330500865,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.99,0.330500865,1x,yes,DGA,yes,no,yes,no,no,yes,no,yes,no,no
4.88,0.345259362,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.88,0.345259362,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.9,0.342575999,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.92,0.339892636,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.91,0.341234318,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
4.93,0.338550954,1x,yes,DGA,yes,no,no,yes,no,yes,no,yes,no,no
3.2,0.570661877,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.22,0.567978514,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.2,0.570661877,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.24,0.565295151,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.24,0.565295151,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.25,0.563953469,4x,no,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
4.59,0.38416813,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.58,0.385509812,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.58,0.385509812,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.35,0.416368489,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.4,0.409660081,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.4,0.409660081,4x,no,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.45,0.402951673,4x,no,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.46,0.401609991,4x,no,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.46,0.401609991,4x,no,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.33,0.419051852,4x,no,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.35,0.416368489,4x,no,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
3.73,0.49955275,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.71,0.502236114,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.71,0.502236114,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.5,0.530411428,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.52,0.527728065,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
3.53,0.526386383,4x,yes,DGA+CYP,no,yes,no,no,yes,no,no,no,yes,no
4.59,0.38416813,4x,yes,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.59,0.38416813,4x,yes,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.57,0.386851493,4x,yes,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.46,0.401609991,4x,yes,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.46,0.401609991,4x,yes,DGA+CYP,yes,no,yes,no,yes,no,no,no,yes,no
4.43,0.405635036,4x,yes,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.42,0.406976718,4x,yes,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.42,0.406976718,4x,yes,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.35,0.416368489,4x,yes,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
4.34,0.417710171,4x,yes,DGA+CYP,yes,no,no,yes,yes,no,no,no,yes,no
2.99,0.598837191,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
2.97,0.601520555,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
2.96,0.602862236,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
2.92,0.608228963,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
2.94,0.6055456,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
2.93,0.606887281,4x,no,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
6.18,0.17084075,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.18,0.17084075,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.22,0.165474024,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.28,0.157423934,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.21,0.166815705,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.3,0.15474057,1x,no,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
4.9,0.342575999,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.91,0.341234318,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.93,0.338550954,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.72,0.366726269,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.74,0.364042905,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.74,0.364042905,1x,no,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.78,0.358676179,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.81,0.354651134,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.79,0.357334497,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.69,0.370751314,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.68,0.372092995,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.73,0.365384587,1x,no,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
6.34,0.149373844,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.34,0.149373844,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.32,0.152057207,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.31,0.153398889,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.3,0.15474057,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
6.31,0.153398889,1x,yes,DGA+CYP,no,yes,no,no,no,yes,no,no,yes,no
4.87,0.346601044,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.89,0.343917681,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.87,0.346601044,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.75,0.362701224,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.77,0.36001786,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.75,0.362701224,1x,yes,DGA+CYP,yes,no,yes,no,no,yes,no,no,yes,no
4.72,0.366726269,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.73,0.365384587,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.76,0.361359542,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.68,0.372092995,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.7,0.369409632,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
4.68,0.372092995,1x,yes,DGA+CYP,yes,no,no,yes,no,yes,no,no,yes,no
5.44,0.270125191,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.4,0.275491918,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.39,0.276833599,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.34,0.283542007,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.33,0.284883689,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.28,0.291592097,1x,no,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
4.34,0.417710171,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.33,0.419051852,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.43,0.405635036,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.33,0.419051852,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.34,0.417710171,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.34,0.417710171,4x,no,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.18,0.439177077,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.2,0.436493714,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.19,0.437835395,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.19,0.437835395,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.18,0.439177077,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.18,0.439177077,4x,no,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
3.28,0.559928424,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
3.26,0.562611787,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
3.26,0.562611787,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
3.26,0.562611787,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
3.27,0.561270106,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
3.26,0.562611787,4x,yes,DGA+TMB,no,yes,no,no,yes,no,no,no,no,yes
4.37,0.413685126,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.35,0.416368489,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.34,0.417710171,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.33,0.419051852,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.33,0.419051852,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.31,0.421735216,4x,yes,DGA+TMB,yes,no,yes,no,yes,no,no,no,no,yes
4.17,0.440518759,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.17,0.440518759,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.16,0.44186044,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.15,0.443202122,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.15,0.443202122,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.16,0.44186044,4x,yes,DGA+TMB,yes,no,no,yes,yes,no,no,no,no,yes
4.65,0.37611804,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.66,0.374776358,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.66,0.374776358,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.66,0.374776358,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.66,0.374776358,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.66,0.374776358,1x,no,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.48,0.398926628,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.49,0.397584946,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.51,0.394901583,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.53,0.39221822,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.53,0.39221822,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.54,0.390876538,1x,no,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
5.33,0.284883689,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.33,0.284883689,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.34,0.283542007,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.31,0.287567052,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.25,0.295617142,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
5.3,0.288908734,1x,yes,DGA+TMB,no,yes,no,no,no,yes,no,no,no,yes
4.64,0.377459722,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.64,0.377459722,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.65,0.37611804,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.64,0.377459722,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.65,0.37611804,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.65,0.37611804,1x,yes,DGA+TMB,yes,no,yes,no,no,yes,no,no,no,yes
4.54,0.390876538,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.53,0.39221822,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.54,0.390876538,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.55,0.389534856,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.55,0.389534856,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
4.57,0.386851493,1x,yes,DGA+TMB,yes,no,no,yes,no,yes,no,no,no,yes
