audps,AUDPS,dic,enl,gly,0-24 soil temp,0-24 15 cm air temp,0-24 rel hum,0-24 avg 1 m air temp,0-24max 1 m air temp,0-24min 1 m air temp,0-24total rainfall,0-24 avg wind speed,24-48 soil temp,24-48 15 cm air temp,24-48 rel hum,24-48 avg 1 m air temp,24-48 max 1 m air temp,24-48 min 1 m air temp,24-48 total rainfall,24-48 avg wind speed,herb,Trial,run,app
2,0.25,no,yes,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
16,14.25,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
30,28.25,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
10,8.25,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
2,0.25,no,yes,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
0,0.01,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
30,28.25,no,yes,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
0,0.01,no,yes,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Enlist,SB25b,2,early
84,82.25,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
64,62.25,yes,no,no,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Xtendimax,SB25b,2,early
0,0.01,yes,no,yes,23.7,22.6,69.9,21.9,29.1,15,1.3,0.3,24,23.1,82.3,21.8,30.5,17.1,23.9,1.5,Status,SB25b,2,early
12,10.25,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
12,10.25,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
16,14.25,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
2,0.25,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
0,0.01,no,yes,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
0,0.01,no,yes,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
18,16.25,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
13,11.25,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
0,0.01,no,yes,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
2,0.25,no,yes,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
0,0.01,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
15,13.25,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
2,0.25,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
1,0.01,no,yes,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
1,0.01,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Xtendimax,SB25a,1,late
0,0.01,yes,no,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
2,0.25,no,yes,yes,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Enlist,SB25a,1,late
0,0.01,yes,no,no,25.6,25.4,78.1,24.3,29.2,21.1,2.5,1.8,28.5,24.8,72.1,23.7,30.5,17.2,0,1.8,Status,SB25a,1,late
36,34.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
42,40.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
32,30.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
14,12.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
0,0.01,no,yes,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
0,0.01,no,yes,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
42,40.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
0,0.01,no,yes,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
0,0.01,no,yes,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
40,38.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
51,49.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
27,25.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
70,68.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
26,24.25,yes,no,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
0,0.01,no,yes,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
0,0.01,no,yes,yes,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Enlist,SB25b,2,late
36,34.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Xtendimax,SB25b,2,late
17,15.25,yes,no,no,26.1,26,76,25.1,31.8,19.5,2.8,0.7,26.2,26.1,81.6,25.1,31.1,20.1,56.4,0.9,Status,SB25b,2,late
