ph,Rate,Dicamba formulation,Glyphosate,DRA,HG15
6.56,4x,BAPMA,no,yes,yes
6.57,4x,BAPMA,no,yes,yes
6.56,4x,BAPMA,no,yes,yes
6.59,4x,BAPMA,no,yes,yes
6.56,4x,BAPMA,no,yes,yes
6.57,4x,BAPMA,no,yes,yes
6.41,1x,DGA+VG,no,no,no
6.41,1x,DGA+VG,no,no,no
6.41,1x,DGA+VG,no,no,no
6.44,1x,DGA+VG,no,no,no
6.43,1x,DGA+VG,no,no,no
6.42,1x,DGA+VG,no,no,no
6.66,1x,BAPMA,no,no,no
6.67,1x,BAPMA,no,no,no
6.67,1x,BAPMA,no,no,no
6.65,1x,BAPMA,no,no,no
6.68,1x,BAPMA,no,no,no
6.64,1x,BAPMA,no,no,no
6.36,1x,DGA+VG,no,yes,no
6.37,1x,DGA+VG,no,yes,no
6.43,1x,DGA+VG,no,yes,no
6.38,1x,DGA+VG,no,yes,no
6.39,1x,DGA+VG,no,yes,no
6.4,1x,DGA+VG,no,yes,no
6.68,1x,BAPMA,no,yes,no
6.68,1x,BAPMA,no,yes,no
6.67,1x,BAPMA,no,yes,no
6.66,1x,BAPMA,no,yes,no
6.67,1x,BAPMA,no,yes,no
6.69,1x,BAPMA,no,yes,no
6.47,1x,DGA+VG,no,yes,yes
6.5,1x,DGA+VG,no,yes,yes
6.47,1x,DGA+VG,no,yes,yes
6.49,1x,DGA+VG,no,yes,yes
6.5,1x,DGA+VG,no,yes,yes
6.49,1x,DGA+VG,no,yes,yes
6.66,1x,BAPMA,no,yes,yes
6.69,1x,BAPMA,no,yes,yes
6.67,1x,BAPMA,no,yes,yes
6.63,1x,BAPMA,no,yes,yes
6.66,1x,BAPMA,no,yes,yes
6.65,1x,BAPMA,no,yes,yes
